original_picture_id,positive,negative,pair_type,retrieved_images,query_strings,lambda_value,is_correct,rank
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Impressive multi-level architecture,Overuse of negative space leading to a sense of emptiness,positive_negative,"['0877bf40-4684-4043-8747-4d53b1b5902e', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'cdaf3830-a9fc-45a0-b1b0-436a9d21dc80', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', '2aefc88e-c16f-4132-a99c-80670e6e8b6c', '423dea1f-4724-4e95-a5e1-589ad3c734d8', 'e065f25d-7920-47e1-8406-6de82f3d4a4f', 'c2b6f39c-c794-4cc9-842d-96974048ed18', '8a30a658-861a-4adc-b04b-5ea2d926784d']","['Impressive multi-level architecture', 'Overuse of negative space leading to a sense of emptiness']",0.0,False,
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Stunning monochrome presentation,Overuse of negative space leading to a sense of emptiness,positive_negative,"['0877bf40-4684-4043-8747-4d53b1b5902e', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'cdaf3830-a9fc-45a0-b1b0-436a9d21dc80', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', '2aefc88e-c16f-4132-a99c-80670e6e8b6c', '423dea1f-4724-4e95-a5e1-589ad3c734d8', 'e065f25d-7920-47e1-8406-6de82f3d4a4f', 'c2b6f39c-c794-4cc9-842d-96974048ed18', '8a30a658-861a-4adc-b04b-5ea2d926784d']","['Stunning monochrome presentation', 'Overuse of negative space leading to a sense of emptiness']",0.0,False,
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Impressive multi-level architecture,lifeless monochrome palette,positive_negative,"['11c22dbd-debf-46ca-a4ec-428d38e77cf2', 'd41fa5fa-3f99-418e-b1f9-b7820ca772f5', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'ab55c037-2cfe-46f9-901e-2e966c86eb98', 'd2e50bae-1275-4d77-a4ce-4dc5605fccf1', '468da0cc-51e7-4b79-bc15-20c029a9c159', 'f61a9853-6d20-4559-a6c6-231e18a4abc3', '7', 'False', 'a3ea17b7-cdfb-4db8-a2dc-4b57328cc7c6']","['Impressive multi-level architecture', 'lifeless monochrome palette']",0.0,False,
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Minimalist architectural lexicon intertwining with whispers of a bygone future.,Inconsistent and clumsy architectural sketch style,noisy_negative,"['7df33602-fba7-4538-ad2e-1810ddca2d87', '7df33602-fba7-4538-ad2e-1810ddca2d87', '92a5d95c-6ab0-4d35-bd0b-c515060f0400', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', 'c2b6f39c-c794-4cc9-842d-96974048ed18', 'e065f25d-7920-47e1-8406-6de82f3d4a4f', '188b9c9e-496a-4f26-a27f-c62653ae1e23', '6b541432-e291-42d0-a5d5-b88c539fc56c', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb']","['Minimalist architectural lexicon intertwining with whispers of a bygone future.', 'Inconsistent and clumsy architectural sketch style']",0.0,False,
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Minimalist architectural lexicon intertwining with whispers of a bygone future.,Dull,noisy_negative,"['3e1aa137-2301-4972-9212-0421fda319bd', 'c2b6f39c-c794-4cc9-842d-96974048ed18', '92a5d95c-6ab0-4d35-bd0b-c515060f0400', '8758053f-a34a-4f8b-8694-ee20bb6295e3', 'ab55c037-2cfe-46f9-901e-2e966c86eb98', 'a3ea17b7-cdfb-4db8-a2dc-4b57328cc7c6', 'dab688dd-fbbd-4f8e-938a-007834a0eb58', '74a3cb6c-a710-4e75-bef2-f275fac28783', 'ab55c037-2cfe-46f9-901e-2e966c86eb98', '0877bf40-4684-4043-8747-4d53b1b5902e']","['Minimalist architectural lexicon intertwining with whispers of a bygone future.', 'Dull']",0.0,False,
6b1b8043-5a69-4036-90f2-dd01290bf4fe,Clunky yet enticing structures reminiscent of ancient mollusk shells,Bulky and unappealing exterior volumes,noisy_negative,"['c2b6f39c-c794-4cc9-842d-96974048ed18', '92a5d95c-6ab0-4d35-bd0b-c515060f0400', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', '7df33602-fba7-4538-ad2e-1810ddca2d87', '11c22dbd-debf-46ca-a4ec-428d38e77cf2', '7', '9dc7def9-826a-41a3-a60e-856cef523f9e', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', '63e5db15-0a71-42ec-b33c-9b77865c88e0']","['Clunky yet enticing structures reminiscent of ancient mollusk shells', 'Bulky and unappealing exterior volumes']",0.0,False,
843a3784-4b2c-48ef-9a85-73fbc314307e,Charming monochrome blue and white palette,Unimaginative and flat lighting,positive_negative,"['7df33602-fba7-4538-ad2e-1810ddca2d87', '7df33602-fba7-4538-ad2e-1810ddca2d87', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', 'b5d2d590-0f2e-4923-b4a0-30731622edb6', 'b6b897c3-cfd0-47a8-823f-588087a75f1a', '92a5d95c-6ab0-4d35-bd0b-c515060f0400', 'ab55c037-2cfe-46f9-901e-2e966c86eb98', 'False', '33e90383-2a54-46ea-ac9d-1f34c453ed0c']","['Charming monochrome blue and white palette', 'Unimaginative and flat lighting']",0.0,False,
843a3784-4b2c-48ef-9a85-73fbc314307e,Charming monochrome blue and white palette,Lack of detail in loose line drawing,positive_negative,"['423dea1f-4724-4e95-a5e1-589ad3c734d8', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'a5bba5f2-8ca2-4a3a-bf47-eb6a86f4ab92', '2a519739-7773-4354-85a1-fba3f6bf92c7', '8c2febab-272b-4d6b-ab63-6e6bf093c2b4', '63e5db15-0a71-42ec-b33c-9b77865c88e0', 'c170f0dd-fa90-4ae3-8f0e-fc8c7e1e7d3e', '8f6f6580-3157-4382-9901-036b78502968', '7', '6b1b8043-5a69-4036-90f2-dd01290bf4fe']","['Charming monochrome blue and white palette', 'Lack of detail in loose line drawing']",0.0,False,
843a3784-4b2c-48ef-9a85-73fbc314307e,Modern minimalist aesthetic,Lack of detail in loose line drawing,positive_negative,"['423dea1f-4724-4e95-a5e1-589ad3c734d8', '7df33602-fba7-4538-ad2e-1810ddca2d87', 'a5bba5f2-8ca2-4a3a-bf47-eb6a86f4ab92', '2a519739-7773-4354-85a1-fba3f6bf92c7', '8c2febab-272b-4d6b-ab63-6e6bf093c2b4', '63e5db15-0a71-42ec-b33c-9b77865c88e0', '8f6f6580-3157-4382-9901-036b78502968', 'c170f0dd-fa90-4ae3-8f0e-fc8c7e1e7d3e', '7', '6b1b8043-5a69-4036-90f2-dd01290bf4fe']","['Modern minimalist aesthetic', 'Lack of detail in loose line drawing']",0.0,False,
843a3784-4b2c-48ef-9a85-73fbc314307e,Aerial viewpoint amplifying spatial depth.,Boxy and unoriginal volumes,noisy_negative,"['False', '7', '165ebb76-4c99-444f-8dc2-af8897986407', '63e5db15-0a71-42ec-b33c-9b77865c88e0', '2aefc88e-c16f-4132-a99c-80670e6e8b6c', '92a5d95c-6ab0-4d35-bd0b-c515060f0400', '56a86805-b954-4a0a-b587-e0150b63541c', 'cdaf3830-a9fc-45a0-b1b0-436a9d21dc80', 'd0ca6a36-1fb5-4237-84e8-e00bb7e557eb', '11c22dbd-debf-46ca-a4ec-428d38e77cf2']","['Aerial viewpoint amplifying spatial depth.', 'Boxy and unoriginal volumes']",0.0,False,
